gene_id	sex	diff_exp	category	logFC	FPKM	chr	hypermethylated	weighted_meth	meth_level	logFPKM
Dcitr00g07570.1	female	no	unbiased	-0.2375052	93.29	DC3.0sc00	none	0.386397624894935	Medium	4.53571292097287
Dcitr00g07570.1	male	no	unbiased	-0.2375052	83.12	DC3.0sc00	none	0.37769656275106	Medium	4.42028534679097
Dcitr00g07580.1	female	no	unbiased	-0.287126063894056	2203.37	DC3.0sc00	none	0.335354248844271	Medium	7.6977432854915
Dcitr00g07580.1	male	no	unbiased	-0.287126063894056	1612.59	DC3.0sc00	none	0.384203815875412	Medium	7.38559686106588
Dcitr00g07590.1	female	no	unbiased	0.4612144	3.83	DC3.0sc00	none	0.113107858291345	Low	1.34286480319255
Dcitr00g07590.1	male	no	unbiased	0.4612144	5.79	DC3.0sc00	none	0.130444514441802	Low	1.7561322915849
Dcitr00g07620.1	female	no	unbiased	-0.348823355823498	3.6	DC3.0sc00	none	0.0073529411764706	Low	1.28093384546206
Dcitr00g07620.1	male	no	unbiased	-0.348823355823498	1.14	DC3.0sc00	none	0	None	0.131028262406404
Dcitr00g07630.1	female	no	unbiased	1.339935	1.91	DC3.0sc00	none	0.124723145071982	Low	0.647103242058538
Dcitr00g07630.1	male	no	unbiased	1.339935	1	DC3.0sc00	none	0.282142857142857	Low	0
Dcitr00g07680.1	female	no	unbiased	0.4879571	1.73	DC3.0sc00	none	0.00837116262799959	Low	0.548121408509688
Dcitr00g07680.1	male	no	unbiased	0.4879571	2.45	DC3.0sc00	none	0.00714103665270841	Low	0.896088024556636
Dcitr00g07690.1	female	yes	male_limited	10.15939	1	DC3.0sc00	none	0.00401005124733371	Low	0
Dcitr00g07690.1	male	yes	male_limited	10.15939	160.9	DC3.0sc00	none	0.00648619859240766	Low	5.08078305399834
Dcitr00g07710.1	female	no	unbiased	-0.429897152693503	30.01	DC3.0sc00	none	0.0287810809237699	Low	3.40153065945228
Dcitr00g07710.1	male	no	unbiased	-0.429897152693503	22.63	DC3.0sc00	none	0.0346201965485964	Low	3.11927645964545
Dcitr00g07780.1	female	no	unbiased	-0.09016785	7.95	DC3.0sc00	none	0.0346285473455409	Low	2.07317192866624
Dcitr00g07780.1	male	no	unbiased	-0.09016785	8.82	DC3.0sc00	none	0.0372780754987575	Low	2.1770218700187
Dcitr00g07800.1	female	yes	male_biased	5.022015	1.18	DC3.0sc00	none	0.00423223374208986	Low	0.165514438477573
Dcitr00g07800.1	male	yes	male_biased	5.022015	12.65	DC3.0sc00	none	0.00533199348201877	Low	2.53765721517353
Dcitr00g07810.1	female	no	unbiased	-0.290171761282781	19.08	DC3.0sc00	none	0.225288475910267	Low	2.94864066602014
Dcitr00g07810.1	male	no	unbiased	-0.290171761282781	21.66	DC3.0sc00	none	0.216655825662765	Low	3.07546724157284
Dcitr00g07870.1	female	no	unbiased	0.3079305	27.51	DC3.0sc00	none	0	None	3.31454957493648
Dcitr00g07870.1	male	no	unbiased	0.3079305	13.44	DC3.0sc00	none	0	None	2.598235335095
Dcitr00g07890.1	female	no	unbiased	0.09477655	39.45	DC3.0sc00	none	0.638165562507668	Medium	3.67503404729188
Dcitr00g07890.1	male	no	unbiased	0.09477655	38.93	DC3.0sc00	none	0.733110852921248	High	3.66176516162236
Dcitr00g07900.1	female	no	unbiased	-0.0981661	1.45	DC3.0sc00	none	0.0407970280310705	Low	0.371563556432483
Dcitr00g07900.1	male	no	unbiased	-0.0981661	0.9	DC3.0sc00	none	0.00714285714285714	Low	-0.105360515657826
Dcitr00g07920.1	female	no	unbiased	-0.1944824	9.08	DC3.0sc00	none	0.00729095399772168	Low	2.2060741926132
Dcitr00g07920.1	male	no	unbiased	-0.1944824	10.04	DC3.0sc00	none	0.00377168739819492	Low	2.30657711426358
Dcitr00g08000.1	female	no	unbiased	-0.07506677	3.93	DC3.0sc00	none	0.00580964843587294	Low	1.36863942588117
Dcitr00g08000.1	male	no	unbiased	-0.07506677	3.49	DC3.0sc00	none	0.00543322491034445	Low	1.24990173621434
Dcitr00g08010.1	female	no	unbiased	0.4399268	30.93	DC3.0sc00	none	0.0460864980168026	Low	3.43172658669698
Dcitr00g08010.1	male	no	unbiased	0.4399268	21.86	DC3.0sc00	none	0.0473731739165735	Low	3.08465848274839
Dcitr00g08020.1	female	no	unbiased	0.4576701	7.15	DC3.0sc00	none	0.0325563644607417	Low	1.96711235670592
Dcitr00g08020.1	male	no	unbiased	0.4576701	12.91	DC3.0sc00	none	0.0244324390771034	Low	2.55800220485855
Dcitr00g08040.1	female	no	unbiased	0.06739597	22.48	DC3.0sc00	none	0.0141631363845477	Low	3.11262602502549
Dcitr00g08040.1	male	no	unbiased	0.06739597	23.24	DC3.0sc00	none	0.0172527606663986	Low	3.14587493198371
Dcitr00g08050.1	female	no	unbiased	-0.644434903673335	71.56	DC3.0sc00	none	0.0122363390650871	Low	4.27053625864052
Dcitr00g08050.1	male	no	unbiased	-0.644434903673335	39.68	DC3.0sc00	none	0.0124684619439864	Low	3.68084728241667
Dcitr00g08060.1	female	no	unbiased	0.08851357	24.19	DC3.0sc00	none	0.00408607775109274	Low	3.18593932462194
Dcitr00g08060.1	male	no	unbiased	0.08851357	26.47	DC3.0sc00	none	0.00653523308942759	Low	3.27601201623901
Dcitr00g08150.1	female	no	unbiased	-0.03183966	6.59	DC3.0sc00	none	0.00521184112836218	Low	1.88555334851442
Dcitr00g08150.1	male	no	unbiased	-0.03183966	3.52	DC3.0sc00	none	0.00980980498345728	Low	1.25846098961001
Dcitr00g08160.1	female	no	unbiased	-0.08382889	8.8	DC3.0sc00	none	0.0493667187611921	Low	2.17475172148416
Dcitr00g08160.1	male	no	unbiased	-0.08382889	5.74	DC3.0sc00	none	0.0849163990282777	Low	1.74745921033147
Dcitr00g08170.1	female	no	unbiased	-0.003782048	16.15	DC3.0sc00	none	0.0443826176532911	Low	2.78192004966867
Dcitr00g08170.1	male	no	unbiased	-0.003782048	16.02	DC3.0sc00	none	0.0386730908905279	Low	2.77383794164021
Dcitr00g08180.1	female	no	unbiased	-0.567733538246557	23.04	DC3.0sc00	none	0.356884057971014	Medium	3.13723183582769
Dcitr00g08180.1	male	no	unbiased	-0.567733538246557	14.21	DC3.0sc00	none	0.223961999244772	Low	2.65394594210901
Dcitr00g08200.1	female	no	unbiased	-0.338739147410115	23.8	DC3.0sc00	none	0.0241747688959051	Low	3.16968558067743
Dcitr00g08200.1	male	no	unbiased	-0.338739147410115	30.98	DC3.0sc00	none	0.0269183655860676	Low	3.43334183498872
Dcitr00g08210.1	female	no	unbiased	-0.354491021619934	3.45	DC3.0sc00	none	0.00581264139105455	Low	1.23837423104327
Dcitr00g08210.1	male	no	unbiased	-0.354491021619934	3.28	DC3.0sc00	none	0.00564763883289744	Low	1.18784342239605
Dcitr00g08290.1	female	yes	male_biased	2.118818	1.67	DC3.0sc00	none	0.20443760365583	Low	0.512823626428664
Dcitr00g08290.1	male	yes	male_biased	2.118818	5.49	DC3.0sc00	none	0.25492105168249	Low	1.70292825552144
Dcitr00g08320.1	female	no	unbiased	1.201334	9.4	DC3.0sc00	none	0.0648557951061172	Low	2.24070968927596
Dcitr00g08320.1	male	no	unbiased	1.201334	17.23	DC3.0sc00	none	0.103007013918006	Low	2.84665205053984
Dcitr00g08330.1	female	no	unbiased	-0.04959466	5.55	DC3.0sc00	none	0.00549238030701876	Low	1.71379792775834
Dcitr00g08330.1	male	no	unbiased	-0.04959466	5.2	DC3.0sc00	none	0.00429585668410676	Low	1.64865862558738
Dcitr00g08350.1	female	no	unbiased	-0.2322737	36	DC3.0sc00	none	0.40830379510805	Medium	3.58351893845611
Dcitr00g08350.1	male	no	unbiased	-0.2322737	27.89	DC3.0sc00	none	0.421602440233611	Medium	3.3282682016394
Dcitr00g08360.1	female	no	unbiased	-0.0284586	9.51	DC3.0sc00	none	0.0244862307129395	Low	2.2523438765573
Dcitr00g08360.1	male	no	unbiased	-0.0284586	11.79	DC3.0sc00	none	0.0112101287535872	Low	2.46725171454928
Dcitr00g08400.1	female	no	unbiased	0.5442189	36.22	DC3.0sc00	none	0.09550573430432	Low	3.58961145245527
Dcitr00g08400.1	male	no	unbiased	0.5442189	52.28	DC3.0sc00	none	0.0776996675414093	Low	3.95661388875602
Dcitr00g08420.1	female	no	unbiased	-0.375804976387288	12.73	DC3.0sc00	none	0.00899063614511099	Low	2.54396141256932
Dcitr00g08420.1	male	no	unbiased	-0.375804976387288	10.73	DC3.0sc00	none	0.00983014967380196	Low	2.37304355664261
Dcitr00g08430.1	female	no	unbiased	-0.1894513	75.2	DC3.0sc00	none	0.00288583367880141	Low	4.32015123095579
Dcitr00g08430.1	male	no	unbiased	-0.1894513	61.34	DC3.0sc00	none	0.00671373039752853	Low	4.11643215868611
